NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score
689.89966,810.7025,0.9787406,687.3634,799.2739,0.9506788,680.12976,798.31006,0.9583498,647.36804,805.66064,0.70755124,645.7572,804.35974,1.0009906,643.5442,875.4104,0.78685623,653.0665,875.849,0.9474206,757.0448,856.3921,0.77300656,757.52356,852.3633,0.92038465,835.609,825.42957,0.7610744,846.1256,823.36646,0.93224823,654.864,1077.5065,0.75495315,664.7655,1080.5333,0.8736267,649.5841,1223.389,0.95534766,668.3799,1230.5588,0.9209704,642.63306,1352.4565,0.9298644,646.7516,1368.8978,0.932964
691.7801,812.07556,0.99001545,690.2787,799.91724,0.94083893,683.01337,798.60693,0.9953141,649.4315,803.422,0.69597405,647.2009,802.6787,0.9677878,644.79706,874.0426,0.82934725,652.7052,876.60754,0.97320795,750.9862,874.25903,0.74209297,756.5813,873.28296,0.95928586,837.2556,855.8921,0.72471833,850.91614,857.3353,0.99929005,656.0645,1079.4686,0.753227,662.1496,1083.07,0.8890391,650.3561,1224.8165,0.90654695,665.92883,1232.8707,0.9682851,644.2676,1351.9923,0.95150816,646.09674,1370.3973,0.9275836
696.6323,814.5564,0.97405165,695.24866,802.0001,0.9612771,687.71704,800.73706,0.99487233,652.87695,804.99146,0.68429756,651.9197,803.9995,0.9500475,645.2013,877.6459,0.8277211,654.0012,880.3717,0.94065344,751.0071,902.4498,0.7862625,754.42957,897.64294,0.9499482,843.12476,899.3242,0.77394295,851.975,904.3718,0.9609836,649.63574,1079.1097,0.7446997,658.71985,1081.4819,0.9085165,648.46387,1223.2214,0.9102925,665.2008,1230.8875,0.93405807,642.41223,1352.7798,0.9587186,645.90137,1369.9304,0.95863104
704.29846,818.57074,0.9492103,703.6697,805.549,0.9128839,696.655,803.78644,0.9675631,664.4894,804.0916,0.72239953,661.43604,803.2233,0.9746187,649.1963,878.596,0.8226541,652.0735,881.7802,0.98046404,744.8336,928.1794,0.8901862,744.14136,928.2248,0.9693886,829.96155,950.4859,0.87420964,836.0083,960.95917,1.0017786,649.23267,1078.748,0.75533724,651.57385,1081.0256,0.9149683,650.11194,1223.063,0.92177147,664.7644,1228.8347,0.9506566,644.62866,1350.7141,0.9137461,646.45044,1369.3506,0.94398427
715.88763,824.07605,0.97154254,716.4202,810.7715,0.9394365,708.7768,808.82385,0.9895891,675.18634,804.8352,0.71306765,673.9002,804.3513,0.9916452,662.7382,879.2865,0.8280444,655.6553,884.3618,0.9630194,728.3848,957.1743,0.99537206,727.8427,956.8982,0.96963966,796.42206,1002.6587,0.9184041,802.5627,1018.56384,0.945403,645.3315,1077.7224,0.7484802,643.51636,1079.9235,0.8863704,648.83984,1222.6416,0.9417255,665.0087,1229.3064,0.96500266,643.4859,1348.2639,0.9038132,645.6268,1369.3601,0.9368226
731.60864,834.0415,0.98922694,733.7512,821.1062,0.95624423,726.19385,818.75806,0.9719416,693.21893,811.48804,0.72645795,692.1555,810.74475,0.9892914,669.6306,885.1754,0.7818208,665.055,889.2938,0.96432686,705.34784,988.9789,0.9145616,705.3096,986.4824,0.97007847,747.6283,1051.1615,0.83205354,748.21533,1061.6382,0.972984,637.11273,1075.8318,0.755237,635.0121,1076.9178,0.87037325,651.2932,1219.1602,0.95387894,665.1247,1225.3181,0.9507637,644.1781,1348.814,0.9426714,645.26575,1368.4991,0.9534595
750.088,851.9805,0.9938965,753.18335,838.87396,0.9818026,746.37366,835.5695,0.9870496,714.1698,825.19855,0.77012515,712.85144,823.49005,0.9870467,673.07526,890.8532,0.8133575,676.23364,896.82477,0.9701407,673.2408,1002.50323,0.8614721,671.81067,1001.5323,0.9830481,685.02246,1084.6213,0.9041351,669.4679,1094.4712,0.9131114,621.29395,1075.1174,0.7060853,623.5212,1078.7661,0.8716192,651.4861,1219.6599,0.9106558,665.43933,1224.4392,0.97515446,643.0479,1347.8894,0.8783388,646.02124,1368.6074,0.9127518
766.7672,875.964,0.998597,771.5259,863.7881,0.9510121,763.54407,859.3679,0.9603801,734.0565,846.11707,0.6669294,729.48517,843.4624,0.9747179,687.9289,904.59534,0.758762,685.09216,910.24084,0.9504415,644.61414,1005.21204,0.54616904,641.3849,1006.1561,0.9757655,665.3762,1103.3007,0.68057144,603.14685,1091.1659,0.95370376,630.1559,1085.7792,0.7267294,624.64264,1087.6515,0.84368753,652.2728,1220.5526,0.9008216,667.58716,1222.366,0.98788106,645.6459,1347.3873,0.91017693,648.3371,1368.1466,0.9201425
781.4684,909.7054,0.9460432,787.24414,898.17694,0.92988473,780.69434,892.7861,0.9648243,748.7323,874.73724,0.6952203,748.7274,872.8582,0.97958076,689.0773,923.3935,0.762771,694.77893,932.2286,0.96528673,611.0542,1001.3691,0.67871493,614.07263,1005.42487,0.92614686,550.8823,1062.7014,0.637556,543.3534,1063.9966,0.95659614,597.07654,1087.7734,0.672504,602.25037,1091.7695,0.82222784,655.56226,1217.4783,0.85392845,670.1459,1218.5657,0.9365003,647.458,1343.8938,0.90899,653.00977,1367.2283,0.95920455
792.4594,944.9551,0.9973564,798.3674,933.103,0.9427482,792.4637,928.20435,0.98012555,762.2015,909.4181,0.69858456,761.8595,908.2921,0.9788,713.7957,956.51746,0.8044784,702.3778,956.74695,0.9227208,613.82776,1009.45056,0.7181933,603.0913,998.4485,0.9332266,546.91113,1051.7567,0.82016706,514.4105,1032.456,0.89983857,587.1633,1093.5066,0.63386464,583.6517,1096.9971,0.8455802,660.70636,1214.4192,0.83845675,666.78357,1218.4246,0.9757483,651.7955,1346.0029,0.8762481,657.27203,1367.9226,0.94893134
