3-,0,65,
214-left_mirrored.mov,1920,1080,58.0
215-left.mov,1920,1080,60.0
287-right.mov,1080,1920,46.0
199-left_mirrored.mov,1920,1080,54.0
216-left_mirrored.mov,1920,1080,52.0
287-right_mirrored.mov,1080,1920,46.0
240-left_mirrored.mov,1080,1920,50.0
219-left_mirrored.mov,1920,1080,53.0
237-right.mov,1080,1920,52.0
236-right.mov,1080,1920,48.0
232-right.mov,1080,1920,52.0
177-left.mov,1080,1920,70.0
220-left.mov,1920,1080,52.0
237-right_mirrored.mov,1080,1920,52.0
234-right_mirrored.mov,1080,1920,47.0
214-left.mov,1920,1080,58.0
119.mp4,886,1920,46.0
233-right_mirrored.mov,1080,1920,59.0
241-left.mov,1080,1920,50.0
152-right_mirrored.mov,1920,1080,49.0
52-left_mirrored.mp4,1920,1080,56.0
209-right_mirrored.mov,1920,1080,56.0
122_mirrored.mp4,886,1920,37.0
236-right_mirrored.mov,1080,1920,48.0
220-left_mirrored.mov,1920,1080,52.0
199-left.mov,1920,1080,54.0
239-right.mov,1080,1920,53.0
119_mirrored.mp4,886,1920,46.0
221-left.mov,1920,1080,54.0
251-left_mirrored.mov,1080,1920,50.0
241-left_mirrored.mov,1080,1920,50.0
45-right.mp4,1234,1080,52.0
213-left.mov,1920,1080,54.0
240-left.mov,1080,1920,50.0
209-right.mov,1920,1080,57.0
212-left_mirrored.mov,1920,1080,51.0
239-right_mirrored.mov,1080,1920,53.0
238-right_mirrored.mov,1080,1920,50.0
217-left.mov,1920,1080,55.0
234-right.mov,1080,1920,47.0
176-left_mirrored.mov,1080,1920,65.0
176-left.mov,1080,1920,66.0
126_mirrored.mp4,886,1920,52.0
213-left_mirrored.mov,1920,1080,55.0
218-left.mov,1920,1080,60.0
218-left_mirrored.mov,1920,1080,60.0
122.mp4,886,1920,37.0
233-right.mov,1080,1920,58.0
3-left_mirrored.mp4,1920,1080,51.0
212-left.mov,1920,1080,52.0
107.mov,720,1280,47.0
158-right_mirrored.mov,1080,1920,55.0
217-left_mirrored.mov,1920,1080,55.0
44-right.mp4,1920,1080,41.0
232-right_mirrored.mov,1080,1920,52.0
152-right.mov,1920,1080,50.0
221-left_mirrored.mov,1920,1080,54.0
126.mp4,886,1920,52.0
251-left.mov,1080,1920,50.0
19-right_mirrored.mp4,1280,720,48.0
159-right_mirrored.mov,1080,1920,52.0
211-left.mov,1920,1080,48.0
219-left.mov,1920,1080,53.0
216-left.mov,1920,1080,52.0
