NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score
682.3666,671.99243,1.029502,680.9241,658.0958,0.9735653,670.5912,655.9779,1.0083547,631.657,663.5737,0.6744069,626.46497,661.4092,0.9882548,628.75586,749.58887,0.8499123,613.4758,748.34106,0.92069656,746.92786,770.3103,0.9238275,754.1217,741.77686,0.9683533,849.66296,710.18506,0.9164834,873.4186,683.16235,0.93254113,649.96643,1007.473,0.8145069,630.9027,1008.78906,0.8705424,639.9623,1209.6847,0.9015856,628.2479,1212.4364,0.93190193,611.90015,1392.0166,0.944692,601.15735,1418.2642,0.9208914
683.94305,673.3226,1.0267352,682.8515,659.39764,0.957101,672.2509,657.2524,0.9947543,633.5413,664.13446,0.6800158,628.07794,662.31976,0.99243957,628.7791,750.8957,0.8506105,614.95807,750.14545,0.9192941,750.42413,781.28827,1.0240426,755.50665,756.48846,0.850474,860.1215,722.627,0.9408023,873.45306,709.6329,0.9479345,646.95465,1005.47455,0.812137,631.07574,1006.56854,0.87115073,639.13226,1209.5408,0.89001596,630.4056,1212.2402,0.92847425,610.2785,1392.8354,0.9356048,601.5815,1418.4658,0.9270296
686.0665,676.8634,1.0168593,685.40845,662.59607,0.95441437,674.74146,660.4972,1.0032277,635.0581,666.1587,0.6766794,629.4938,664.2897,0.9832037,624.8779,752.9927,0.850371,616.4706,751.9961,0.91089815,749.13306,800.43494,1.0431395,755.798,778.817,0.9433805,856.25195,755.0913,0.89369357,885.5325,734.43384,0.9209677,647.2849,1013.51953,0.8008419,631.7473,1014.7455,0.8728764,642.89294,1213.7056,0.89588296,629.20984,1216.3679,0.93130577,611.56226,1394.1805,0.95077306,601.1195,1420.7063,0.89669454
687.2413,679.44037,0.9918783,686.76544,665.21295,0.9701878,675.8995,663.0933,1.0116618,636.8388,668.83685,0.6743289,630.50385,666.28253,0.9998361,625.12164,757.88336,0.8750942,616.5334,755.52386,0.9125092,742.8162,828.19806,0.89639235,757.0798,798.47723,0.9935462,862.5666,788.63544,0.90060985,884.3791,776.5336,0.94719166,648.038,1017.02057,0.80533385,632.0644,1017.4816,0.86885214,643.1409,1214.1628,0.9034981,630.7138,1217.3555,0.9245337,612.0306,1395.4583,0.9508882,601.39655,1420.4839,0.9107927
689.5731,682.5565,0.9894552,689.62085,668.01685,0.9722147,678.2118,665.8612,1.0105691,641.3568,671.3967,0.6754197,632.63965,668.43787,1.0057348,625.9426,760.20496,0.8846965,619.5377,759.8219,0.9175731,735.6896,850.5408,0.98569846,751.74817,821.5045,0.9389254,857.2699,832.5746,0.8486614,880.9857,819.853,0.9326577,649.0111,1020.49866,0.815408,633.13416,1022.04395,0.8919375,644.9486,1217.6832,0.9114589,630.6028,1220.5399,0.9325024,613.0852,1396.1979,0.95558715,601.7838,1420.1642,0.9042223
693.7589,685.54926,0.99615633,692.8386,669.6458,0.97477,682.7859,667.9206,1.0118964,641.167,672.8056,0.6667733,636.2322,671.16876,0.99924004,620.08154,762.3361,0.85628074,622.3937,764.1243,0.90048033,727.46094,870.2885,1.0243754,739.1184,853.64044,0.84417534,851.89417,877.2994,0.8601594,867.1013,870.8359,0.9963421,636.4209,1022.3232,0.76011777,639.76904,1024.1082,0.8474357,632.3323,1218.8674,0.89284176,636.214,1224.2834,0.91029644,609.48566,1399.5356,0.8959844,603.84814,1423.9158,0.92958295
700.0532,688.79706,1.0055372,699.4761,672.1031,0.9603947,689.8047,670.5411,1.0125971,647.23584,674.8316,0.74647564,644.3684,672.47833,1.0206606,621.3445,765.465,0.8452445,624.3756,767.38007,0.9499546,714.4193,893.9993,1.04381,723.896,873.8558,0.917199,825.3484,924.8455,0.87627053,841.68677,925.72076,0.97251225,639.5233,1027.8665,0.7621677,637.1776,1030.3599,0.87097096,642.0559,1220.022,0.8913278,635.1001,1223.7866,0.9190893,613.3762,1395.9519,0.9277638,602.53516,1419.2395,0.9321536
705.97266,688.12646,0.98621124,705.6459,672.1576,0.97093225,694.8943,670.48315,1.0015155,654.6985,675.0698,0.67903936,648.3262,673.5853,0.99174476,625.0054,764.18286,0.84345126,627.79456,770.75574,0.9253254,690.0691,902.08215,0.86625487,702.3783,891.26624,0.92102623,789.19275,967.3019,0.74082637,804.37756,973.35205,0.94706213,637.53125,1026.4154,0.7788491,638.1001,1029.4508,0.8760765,643.5138,1220.9352,0.8472614,637.55237,1225.6027,0.9265111,617.33276,1396.9064,0.8984605,604.0698,1421.4138,0.9427507
713.5427,690.3221,0.9699398,714.16504,675.4931,0.93081605,703.25635,673.57465,0.9905014,662.22925,675.29315,0.75262177,658.98975,674.1717,0.9836203,619.1002,762.56525,0.84304905,640.0178,771.0932,0.95447934,654.0243,901.3947,0.63650274,681.4099,902.9163,0.9540373,715.3689,997.07684,0.44096613,754.80334,1013.3669,0.9395983,618.0333,1026.2678,0.78909075,640.87024,1031.5396,0.862489,629.301,1218.8303,0.8425182,644.5272,1227.0474,0.90583014,611.58594,1395.6511,0.8905671,605.9662,1418.3752,0.95591044
719.5201,691.9292,1.0015625,719.5335,676.58167,0.949508,708.72614,674.6389,0.9726018,662.6441,676.59863,0.7583852,662.966,675.4523,1.0059782,621.9012,764.6858,0.8244317,643.93976,773.5969,0.91897607,648.2542,906.31604,0.6470902,670.37616,908.54944,0.96464956,694.0733,1018.537,0.5568771,727.40717,1029.5096,0.9176312,616.9081,1025.5665,0.7716272,635.60004,1031.4358,0.8507334,626.91034,1219.7604,0.90641636,649.0473,1227.9086,0.9339813,612.1307,1397.8785,0.8903896,606.4304,1420.5696,0.8821219
732.53174,692.8873,0.9790914,732.552,676.3086,0.945138,722.20447,674.76196,1.0209624,678.7134,677.188,0.74954975,676.75073,675.48987,1.0063851,631.7744,764.0521,0.8514794,652.0974,775.0786,0.9441005,630.99756,903.35547,0.5955535,644.63684,908.75464,0.9886409,649.8799,1030.4402,0.43884698,663.9303,1038.9922,0.92891735,612.84595,1026.6288,0.753162,634.1377,1033.5398,0.81966597,626.0011,1215.7059,0.905708,652.0327,1224.6299,0.9061044,610.22144,1398.9532,0.89777786,608.516,1420.4291,0.91621983
744.3887,697.63043,1.0020208,744.14404,682.1159,0.9600744,734.6853,680.2723,1.000543,689.60486,681.51117,0.78635603,690.0851,679.9704,1.0250702,637.67773,767.19293,0.8743831,660.65515,776.8858,0.9499196,600.14417,904.57306,0.7356318,621.4093,896.50616,0.9744506,589.4889,1030.2083,0.7468803,601.1138,1028.2144,0.97982645,628.5823,1045.1514,0.77284116,644.5779,1048.6196,0.8500694,624.5128,1227.6472,0.90867007,651.77136,1234.6963,0.9160472,611.66003,1400.2175,0.8993671,609.0769,1421.2625,0.91733015
755.5294,702.4128,0.97655374,756.68616,687.6976,0.9643571,745.1787,685.4759,1.0050062,704.7069,687.14703,0.78251064,700.82715,685.61383,0.97453576,660.4447,772.2216,0.8072647,661.671,778.99945,0.9520829,597.9541,893.4244,0.7123774,595.6388,888.06793,0.95120627,552.7517,1006.8239,0.69873214,544.6282,1000.32135,0.95331246,630.4713,1038.9075,0.7826227,627.306,1041.4438,0.84329236,634.7954,1225.9053,0.82955045,646.7909,1232.5715,0.87686616,614.4685,1399.5012,0.89563894,608.245,1421.3174,0.92393327
