0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1073.5992,946.0258,0.9735669,1071.9171,919.04865,0.96340847,1051.4037,918.5903,0.99744105,966.89856,934.06464,0.6011534,954.03455,929.6661,0.96883315,940.9503,1030.1277,0.834537,800.02625,1013.6602,0.8361304,790.1698,1124.9819,0.28672764,583.8772,1066.0173,0.89876574,673.5962,1149.3557,0.14855191,427.74466,1131.9106,0.94906723,768.61804,1228.5188,0.83644783,639.444,1245.9434,0.78187287,978.68665,1341.4534,0.91987264,878.9885,1376.033,0.93652934,809.13367,1550.1497,0.8800597,702.5781,1639.7617,0.88470924
1042.0269,899.10724,0.97931665,1039.6677,872.4106,0.95984626,1017.0204,871.89545,0.9466626,943.22217,891.25653,0.5981884,921.02954,890.43695,0.9635979,923.5242,1001.4285,0.86059797,783.7263,989.52277,0.8430774,778.0752,1130.094,0.42355463,581.4856,1143.6311,0.924801,665.72046,1149.1838,0.3372895,469.61642,1316.3528,0.9681537,772.7883,1228.1445,0.79312253,647.6704,1245.7239,0.7781375,985.60486,1345.9653,0.92117506,889.8325,1376.2932,0.9641595,804.1719,1551.2239,0.84782255,705.3196,1638.241,0.89867127
982.2969,838.0623,0.941932,979.04834,811.3023,0.9580948,959.09924,809.99725,0.9525749,881.7871,833.2148,0.5973523,860.04785,830.5557,0.96711695,892.62964,966.1303,0.9221276,735.00073,963.17096,0.87584066,849.90955,1133.7173,0.90145934,640.4114,1205.3474,0.9350624,880.7932,1284.6357,0.74925536,644.8882,1434.2307,0.96331716,775.78564,1229.7756,0.84897304,649.61255,1250.4692,0.7429342,990.0945,1341.3774,0.921289,903.51196,1379.2527,0.9698047,810.3047,1551.8408,0.8750634,706.447,1639.1411,0.9041008
902.7679,781.91766,0.9744183,898.20953,755.8918,0.98837626,873.7564,757.92755,0.9754366,843.0501,785.0151,0.4939724,784.419,788.22687,0.94143,851.78253,909.76154,0.947417,709.11993,929.0715,0.9154592,910.2474,1089.7336,0.9375895,747.013,1164.6355,0.95880616,1037.3655,1217.1926,0.9453906,892.01886,1344.4446,0.9568944,761.4649,1217.3533,0.803983,640.7524,1239.7161,0.82222617,992.42413,1336.3071,0.9132084,895.29254,1377.8755,0.8374616,809.88776,1551.5806,0.8708942,711.6197,1635.6602,0.89856744
835.24335,734.07806,0.9750952,827.5916,711.9786,0.9734508,804.3732,714.7474,0.99156237,778.9151,751.4556,0.5502683,721.93634,760.9003,0.97268355,809.0162,872.9511,0.94432926,676.34735,884.4744,0.9696059,933.82623,971.6602,0.92639726,829.3576,1014.0423,0.94338363,1061.6677,1009.08307,0.81576395,1039.7488,1033.8684,1.0286111,754.33453,1198.6353,0.91079414,638.38275,1224.6606,0.8598908,989.0308,1334.7917,0.95046115,900.9378,1375.7136,0.9871932,813.3914,1550.7124,0.9059843,713.51215,1636.1196,0.9107152
772.4122,680.5554,0.95309716,761.4693,662.9313,0.9723886,737.78546,672.1106,0.951,732.63983,706.89746,0.5384593,669.86176,733.0919,1.0048752,801.5485,845.5502,0.88685834,655.35065,838.13586,0.91556,984.4578,836.9098,0.9891178,842.47406,790.32947,0.9478328,1091.6377,763.8307,0.7461262,1029.366,678.1554,0.98375064,749.4964,1192.5281,0.9189743,633.8051,1211.9686,0.8879885,987.1174,1331.4181,0.9554002,898.6888,1373.942,0.94740045,805.55853,1549.6703,0.90307754,715.1424,1634.7719,0.9409065
725.03613,635.79016,0.86788416,720.0974,621.95447,0.796805,697.70337,623.64954,0.83957064,723.91907,658.83044,0.7809457,638.0005,669.0637,0.88938487,770.7742,785.09265,0.98793733,634.4906,779.08264,0.9072649,918.2915,678.08057,0.977745,756.34204,590.4641,0.96144634,978.15234,518.30725,0.97120315,856.4824,418.66162,0.95794475,751.5073,1163.5831,0.9801359,640.9922,1179.8873,0.934965,983.12354,1319.2411,0.95457137,893.1942,1370.285,0.926599,794.9431,1562.9908,0.81211174,708.7742,1638.9305,0.9296649
672.7574,562.1157,0.84033394,673.8227,547.43005,0.7804735,644.06415,549.6787,0.80262583,690.7426,596.4794,0.7455203,599.1401,602.59375,0.8450606,740.41205,705.8097,1.0149554,603.5656,708.3871,0.91362107,804.757,553.3063,1.0222051,615.55707,487.78235,0.97417486,809.8068,406.9508,0.9438535,649.8647,332.37842,0.9681964,763.85956,1115.7233,0.97587806,654.70966,1131.1539,0.9272791,982.78156,1309.735,0.9287821,889.8903,1354.2018,0.98642457,807.1623,1547.3551,0.965695,713.3945,1627.9093,0.96326816
617.0784,514.77496,0.9039811,621.0019,506.55255,0.8699815,592.1988,507.43536,0.9352454,640.81915,548.5849,0.79890317,558.8538,553.8222,0.8838331,684.3746,640.80853,0.999142,552.07587,644.7452,0.91515493,690.2353,506.41522,1.0455854,491.07684,454.62592,0.9708216,661.2464,364.5855,1.0055592,488.39386,308.789,0.938699,792.56573,1040.7349,0.93047714,685.2067,1052.7839,0.9207293,976.77155,1278.272,0.9955944,872.21954,1323.0044,0.96382225,826.02997,1528.3108,0.9625313,721.8598,1610.2302,0.9168234
518.92474,472.30084,0.8303361,509.81354,459.5207,0.88759816,489.46625,473.17023,0.88855946,535.1445,492.77692,0.770103,474.57428,525.1805,0.9031973,611.5965,569.4572,0.8998543,494.9969,599.27264,0.91415215,605.8609,467.32623,0.9393962,388.58453,433.64874,0.9492699,557.57294,356.9461,0.98861766,364.12518,316.32867,0.9602808,813.3438,940.8682,0.83815444,718.0423,952.0715,0.8685879,955.0401,1235.9807,0.95216095,859.7773,1276.3604,0.9412184,849.1075,1502.054,0.90951395,744.1087,1596.0483,0.9331698
