0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
926.01764,339.84125,0.96138304,920.9179,332.1455,0.931599,915.0164,333.22424,1.0011454,894.44025,346.48102,0.65051025,894.3757,346.44702,0.97047675,878.16986,395.28625,0.7315501,878.9329,399.7328,0.91821194,817.3486,466.90735,0.65986025,829.3386,476.7893,0.917919,789.2662,531.9971,0.7106562,809.15344,547.7805,0.87854034,838.9469,520.0145,0.66622704,835.4515,526.80554,0.8093296,943.7142,528.1129,0.80559164,952.1596,530.9662,0.91054666,892.67755,634.90967,0.9779857,895.732,639.5885,0.91116464
893.53815,313.9959,0.9843247,886.882,306.7915,0.88821006,882.0274,308.56506,0.96651894,863.77606,326.49878,0.65108967,863.6646,325.40106,1.0001105,860.87103,377.56885,0.773862,858.7696,379.4223,0.92143273,874.47003,464.73425,0.57836056,873.055,472.07904,0.8222465,890.5787,512.97815,0.29637232,900.1608,534.70325,0.6743526,835.39874,504.9709,0.6830082,822.6966,511.63037,0.8619026,952.1905,528.82623,0.80911666,941.4305,537.9796,0.8536712,895.0589,635.4756,0.92367995,894.4113,640.08923,0.96178687
853.9478,291.19974,0.9148741,844.8625,286.0176,0.87428737,840.6419,288.79727,0.9684305,828.2425,312.19687,0.59037006,828.3451,310.40952,0.9836325,829.819,366.68002,0.7820478,845.59186,362.66122,0.8645021,890.00543,446.24948,0.93986756,920.0384,424.45676,0.91153556,950.60944,468.0115,0.9143846,1004.3724,444.0098,0.9103701,817.0221,504.34573,0.6485138,825.1008,504.55936,0.81544095,933.8984,528.96106,0.78352404,948.67303,528.4525,0.9105129,891.1523,635.614,0.94588,896.7664,638.6327,0.92214215
820.6232,281.78366,0.87351143,810.3459,278.00925,0.86727613,807.7244,282.9246,0.96103334,799.1947,310.80325,0.58085537,800.588,306.75156,0.9606256,821.2797,354.10538,0.74043185,826.7629,342.86276,0.8510449,903.6906,383.39743,0.9630841,919.65765,345.92612,0.8954351,974.3923,367.2128,0.9234435,995.63043,319.94662,0.88478875,818.5395,493.671,0.66190803,821.88947,493.9166,0.83687973,928.9205,529.3096,0.77570146,944.519,526.66846,0.87137043,891.7652,635.5912,0.9727262,895.7226,639.39404,0.89595264
791.94104,269.59198,0.8865165,781.705,268.77393,0.8870021,779.49133,274.68726,0.9626142,781.8689,298.68365,0.5412891,780.01917,299.85205,0.94386053,816.90186,329.8423,0.8318523,812.82263,328.6582,0.9268378,894.672,313.9707,0.93326247,895.24854,281.42493,0.84210193,933.9386,263.2379,0.7953934,933.93335,212.15369,0.9383465,825.96826,478.30322,0.77011204,821.6974,483.2428,0.8745166,935.7283,523.86505,0.80794716,943.23914,524.8951,0.93944484,894.6742,632.388,0.9941484,894.9581,638.1368,0.9460319
773.328,253.2539,0.8944857,763.7546,252.4964,0.8144225,762.1803,258.04956,0.9344827,761.4178,284.2442,0.6151381,764.6302,280.29547,0.933582,800.25055,301.65717,0.81074214,797.9145,304.19946,0.8654543,850.5435,254.4549,0.7938665,848.12946,219.81653,0.8841357,859.6917,184.47137,0.70285887,842.4996,158.57874,0.93396235,828.57623,457.15228,0.8003816,828.8577,460.4848,0.87442875,925.6568,524.2784,0.856957,942.84784,521.58624,0.95931315,893.279,630.3442,0.9512075,897.4295,636.2538,0.9898749
741.8042,236.83905,0.9133483,733.24365,237.11353,0.8194441,733.6488,242.99231,0.9243164,734.5692,264.49463,0.5938416,738.6107,264.67725,0.95185685,776.4426,277.3258,0.7955446,771.5204,286.47327,0.87700224,798.2378,221.8169,0.81978154,789.5764,205.93073,0.78120375,782.781,167.12909,0.84369195,764.6245,155.81656,0.9147204,838.44495,420.82275,0.77734655,839.13513,424.25623,0.86660796,924.27234,514.0305,0.824967,937.69885,512.73596,0.90508044,896.1029,622.96155,0.9742621,899.95874,628.6328,0.9506494
714.2882,231.28204,0.94804406,704.97925,232.53857,0.8163795,705.45825,237.36041,0.9369106,705.3628,263.15002,0.5680007,708.8115,257.7395,0.9619396,742.72034,273.65674,0.7891817,748.31824,270.5067,0.8639151,749.2114,197.72736,0.57359445,740.58545,170.76538,0.87346363,721.37524,165.00806,0.42562824,700.86975,153.26694,0.8968405,850.2344,381.94354,0.74584496,856.12646,381.9422,0.84820724,916.0841,495.36084,0.8219027,927.8767,493.23688,0.88952357,908.43787,605.06934,0.9464409,910.93164,608.1677,0.9298823
679.8459,241.30655,0.8573003,672.00854,245.54422,0.7320476,675.272,248.20352,0.9612231,679.0625,286.10092,0.7025014,684.46515,269.03726,0.955571,717.58466,275.43668,0.71095705,724.27844,259.90958,0.7910602,707.03894,204.91348,0.5817932,704.23987,167.33823,0.9214151,695.0855,188.29123,0.64122456,657.5781,159.19415,0.93126345,850.99255,342.71854,0.72922957,859.7335,340.09464,0.8262404,915.2423,455.34433,0.7904199,926.9198,451.3555,0.8923743,915.782,571.3063,0.92862976,914.3013,569.1448,0.9459771
653.735,266.8862,0.8302825,648.5266,274.2714,0.74737555,655.02673,276.71042,0.8890351,671.23474,305.46658,0.5251256,674.9044,292.79037,0.86800534,707.7108,284.45547,0.6865779,709.69244,270.9916,0.8133973,709.7139,234.18576,0.62107587,684.7778,173.63614,0.98408544,679.6114,209.5394,0.96724975,629.2505,169.30508,0.9231233,843.1802,302.66226,0.62284404,846.68506,305.65286,0.7974386,921.4258,401.52872,0.82654595,938.72095,398.29446,0.94337356,909.20386,514.1006,0.85936016,908.17944,519.2611,0.9457974
