0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
865.08154,174.15277,0.96263504,867.56665,166.42957,0.96981573,860.9512,163.89075,0.97412676,838.1345,159.06348,0.65205204,834.8248,155.53528,0.94834924,813.74634,206.25793,0.78356075,824.03467,199.95349,0.8473926,885.4951,274.141,0.93078876,902.6533,245.8377,0.97259676,955.5021,296.96234,0.9131162,972.72437,270.34937,0.96511877,776.3254,346.79034,0.7098508,789.75757,346.0661,0.8840271,810.84644,470.79895,0.86462283,832.8063,468.68652,0.9419597,811.20483,590.5614,0.9889823,823.3827,594.0132,0.94147366
868.80475,183.42615,1.0043565,870.89886,174.40906,0.9794911,866.4727,172.13846,0.9805078,838.75055,164.81674,0.73140085,842.85455,163.71729,0.957984,820.5301,210.73093,0.7911701,828.29486,205.15164,0.8745427,880.2303,289.65268,0.98801804,894.4274,264.3071,0.97220606,946.66,326.3008,0.96412945,965.85284,297.6581,0.9646665,773.5706,351.35977,0.69918424,785.5532,349.93875,0.8691871,814.3964,473.1011,0.83235633,832.20575,470.24796,0.9152156,814.9482,591.9503,0.9639982,825.14703,595.8926,0.931833
877.1311,191.5422,0.9686209,879.7311,183.86356,0.91704565,873.90295,179.59863,0.9577527,856.42175,175.95132,0.7103801,849.28406,170.70724,0.97458816,837.81665,223.43582,0.78229207,825.42334,214.83298,0.8953508,869.3092,310.26035,0.9328324,882.60144,289.00192,0.9684644,922.141,360.21567,0.90840125,943.76794,337.90598,0.97752726,784.33527,356.55447,0.723931,778.3098,354.21286,0.8502107,830.0758,474.70602,0.84428823,833.26245,473.22495,0.8823507,821.69495,594.23035,0.96234727,822.30884,597.30664,0.9346454
888.3898,206.05215,0.95084405,890.4917,197.47824,0.9330549,886.2141,193.63824,0.979321,861.66956,186.5039,0.7430329,861.18225,183.59396,0.9636646,834.9215,232.31332,0.8346938,831.34106,226.94681,0.93298995,852.7445,330.95395,0.9178351,858.57556,317.5184,1.0047429,886.2317,396.3903,0.96505713,902.4784,383.75845,0.9225607,780.6399,364.89175,0.6786294,775.3813,362.5231,0.8377924,838.7875,474.01736,0.8049889,840.0349,472.5917,0.9094731,828.5775,592.3602,1.0146004,825.84924,596.1592,0.9522759
898.9869,224.2015,0.97326714,901.6435,215.68661,0.9751065,897.16266,212.5037,0.9712413,867.7984,202.65662,0.71867263,871.5988,202.32867,0.97720945,835.82697,241.96054,0.8082756,842.33685,242.97708,0.9228524,823.6265,333.57846,0.7167342,827.3935,333.65732,0.95459783,836.44183,407.0947,0.7187183,838.012,411.72726,0.99416673,765.9043,373.68912,0.639802,773.04877,374.77267,0.8176649,840.8671,477.84628,0.7202003,849.42816,476.2557,0.85833746,827.7454,593.52185,0.9832139,826.4482,598.7805,0.95925444
911.7934,244.49268,0.9830296,913.6446,235.50891,0.9387627,908.6197,232.80023,0.9720161,882.01373,226.36594,0.75141007,884.3072,225.7551,0.9649265,850.35297,267.0645,0.766225,849.2835,264.47833,0.95635116,798.3517,336.31573,0.47095597,800.87195,334.3316,0.94135654,773.8058,418.12738,0.4781571,770.5634,415.28522,0.9063155,770.501,381.5605,0.64302677,773.53955,383.6289,0.8028835,845.7968,483.2613,0.72953767,855.872,481.05133,0.9209273,827.3764,595.134,0.96929765,826.68915,598.9039,0.9394853
919.9472,272.39,0.9551228,922.33026,262.76575,0.9222251,916.80963,260.0968,0.9852124,889.3874,253.57745,0.644076,892.5512,253.26782,0.94514513,855.7597,292.22858,0.6776049,857.8089,290.64502,0.91592133,792.10065,353.85907,0.6134534,785.31946,332.13812,0.914148,741.43243,412.07,0.89484394,713.27264,381.66425,0.90630263,766.7898,401.73468,0.65203005,770.29535,401.77692,0.78229994,850.06647,484.16113,0.78001153,861.6303,483.67023,0.9143833,830.3278,593.7281,1.0025537,827.38605,599.2522,0.95312107
928.6797,297.32434,0.96294993,928.53455,287.40552,0.9153078,924.7971,285.76508,1.013976,895.01917,282.36084,0.7155285,900.08435,282.0876,0.9245475,861.97595,322.21143,0.7882136,858.71533,316.43683,0.9129985,782.82983,348.031,0.75449747,776.42505,331.26758,0.92016864,719.6157,376.78265,0.9769495,688.2257,339.79272,0.8856691,761.6072,415.32727,0.65435797,762.464,416.59717,0.82632095,855.053,485.94446,0.80456734,867.0322,486.62024,0.88533825,829.73035,593.44824,0.9418502,827.71484,599.1511,0.94628084
931.7245,322.0919,0.99241644,931.61194,312.52487,0.93203545,926.78,311.2142,1.0223386,899.81445,309.89987,0.6528207,900.51013,309.80423,0.9756893,864.2385,343.9379,0.7591107,858.7816,337.61356,0.91176987,772.1123,345.5148,0.8741981,774.4928,326.2089,0.8673991,709.9597,347.80972,0.9632935,685.42456,305.96042,0.8979337,755.8596,430.6127,0.69608235,757.3013,430.80923,0.8504751,860.2633,488.7809,0.8316826,871.24817,488.35587,0.8784454,829.0261,596.38416,1.0013533,827.91345,600.9282,0.9238944
929.3572,339.65686,1.0050826,929.0801,330.17853,0.91619325,924.87476,329.4038,0.9898268,896.7407,326.5171,0.63291985,899.72644,327.8725,1.0132446,860.2103,357.87347,0.7154863,859.1113,356.27838,0.8868756,776.6355,342.036,0.8687335,781.4276,323.37396,0.8574266,717.2141,324.34448,0.92326367,703.0383,286.3501,0.924786,760.3817,444.1751,0.6108769,751.6223,447.47693,0.78809214,867.89954,486.2536,0.8034853,870.058,488.5146,0.8637315,829.3336,595.9099,0.9935216,828.35034,600.3247,0.95024
